genus,nf,otu_count,priority_score
Flectomonas,inf,639,19.03
Trachelomonas,inf,470,18.36
Pentapharsodinium,inf,466,18.34
Mastigamoeba,1609.0,1609,17.7
Saccamoeba,inf,279,17.23
Dileptidae_X,inf,253,17.02
Drosophila,inf,217,16.68
Acantharea_3a_X,inf,208,16.59
Bullinularia,inf,151,15.89
Nolandellidae_X,inf,142,15.76
Copromyxa,inf,133,15.62
Vorticella,inf,132,15.6
Monocystis,inf,131,15.59
Stylonychia,800.0,800,15.23
Sawyeria,inf,108,15.17
Chaetonotus,inf,98,14.96
Bellemerea,inf,90,14.77
Allogromiina,inf,83,14.6
Endostelium,inf,82,14.57
Cyclotrichium,inf,79,14.49
Neocercomonas,inf,69,14.19
Scytomonas,inf,66,14.1
Maxillopoda_X,inf,63,14.0
Flamella,inf,62,13.96
Bicoecaceae_X,inf,57,13.78
Picomonas,inf,51,13.54
Cavernomonas,inf,50,13.49
Trimitus,inf,47,13.36
Hartmannella,inf,46,13.31
Neobodo,inf,43,13.17
Collophidium,inf,42,13.12
Fusiforma,inf,40,13.01
Urotricha,inf,38,12.9
Acineta_1,inf,37,12.84
Anthoptilum,inf,35,12.72
Chaos,inf,35,12.72
Filoreta,inf,34,12.66
Korotnevella,inf,34,12.66
Mastigella,inf,34,12.66
Gromia,inf,33,12.59
Tokophrya,inf,33,12.59
Spinibdella,inf,31,12.46
Physochila,inf,30,12.39
Ptolemeba,inf,29,12.31
Physcomitrella,inf,28,12.24
Paradinium,inf,27,12.16
Gyropaigne,inf,26,12.07
Tholomura,inf,26,12.07
Trochilia,inf,25,11.99
Distigma,inf,24,11.9
Spadicoides,inf,24,11.9
Zea,186.0,372,11.67
Xiphocephalus,inf,20,11.51
Hemimastix,inf,20,11.51
Schizoplasmodium,inf,20,11.51
Coccomyxa,inf,20,11.51
Ceratiomyxella,inf,20,11.51
Cercomonas,inf,20,11.51
Diptilomiopus,inf,19,11.39
Gadixcellia,inf,19,11.39
Nemogullmia,inf,18,11.28
Diplophrys,inf,17,11.15
Neovahlkampfia,211.0,211,11.05
Amphitrema,inf,16,11.02
Encentrum,inf,16,11.02
Petalomonas,inf,16,11.02
MAST-12C,inf,15,10.88
Paracalanus,inf,15,10.88
Allobodo,inf,14,10.73
Eudiaptomus,inf,14,10.73
Polychaos,inf,14,10.73
Cercomonadidae_X,inf,13,10.57
Leohumicola,inf,13,10.57
Rigifila,inf,13,10.57
Micronuclearia,inf,12,10.4
Plagiostomum,inf,12,10.4
Tetrachaetum,inf,12,10.4
Rehmannia,160.0,160,10.27
Tobrilus,inf,11,10.21
Nucleariidae_Nuclearia_2_X,inf,11,10.21
Chloroparva,inf,10,10.0
Notosolenus,inf,10,10.0
Reophax,inf,10,10.0
Trepomonas,inf,10,10.0
Vampyrella,inf,10,10.0
Astrorhiza,inf,9,9.77
Evaginogenida_X,inf,9,9.77
Plectonchus,inf,9,9.77
Ventrifissura,inf,9,9.77
Prodesmodora,inf,8,9.52
Thaumatomonas,inf,8,9.52
Clavicaudoides,inf,8,9.52
Salpingoecidae_Group_C1_X,74.0,148,9.1
Phaeosphaeria,57.333,172,8.92
Ascomorpha,inf,6,8.89
Cryptodifflugia,inf,6,8.89
Nematostelium,inf,6,8.89
Pseudovorticella,inf,6,8.89
Sandona,inf,6,8.89
Apis,39.333,236,8.75
Rhizophagus,33.714,236,8.53
Ripidomyxa,inf,5,8.49
Penthaleus,inf,5,8.49
Metridia,inf,5,8.49
Guepiniopsis,inf,5,8.49
Hyplorynchus,inf,5,8.49
Cryptococcus,inf,5,8.49
Choanocystis,inf,5,8.49
Centropages,inf,5,8.49
Actinosphaerium,inf,5,8.49
Lecanicillium,32.143,225,8.4
Sarcocystis10,76.0,76,8.3
Ostreococcus,24.417,293,8.28
Leidyana2,73.0,73,8.2
Ustanciosporium,69.0,69,8.06
Rhynchomonas,inf,4,8.01
Protaspa,inf,4,8.01
Parhypochthonius,inf,4,8.01
Paracercomonas,inf,4,8.01
Limnofilidae_X,inf,4,8.01
Diaphanosoma,inf,4,8.01
Cyclops,inf,4,8.01
Bosmina,inf,4,8.01
Anomalocera,inf,4,8.01
Heterodera,22.8,228,7.92
Isaria,64.0,64,7.87
Thalassiosira,17.167,309,7.8
Labyrinthula,62.0,62,7.8
Vannella,56.0,56,7.55
Malassezia,14.19,298,7.48
Hartmannulidae_X,inf,3,7.39
Protacanthamoeba,inf,3,7.39
MAST-3E,inf,3,7.39
Loimia,inf,3,7.39
Spermatozopsis,inf,3,7.39
Allantion,inf,3,7.39
Adelina,inf,3,7.39
Ceratium,inf,3,7.39
Schistosoma,14.615,190,7.1
Pycnora,46.0,46,7.09
Rattus,29.0,58,6.8
Chlorociboria,28.0,56,6.73
Corynespora,27.5,55,6.68
Leptomonas,26.5,53,6.6
Spizellomyces,26.0,52,6.56
Glycine,17.0,85,6.53
Aureococcus,36.0,36,6.53
Limulus,36.0,36,6.53
Sphaerozoum,inf,2,6.51
Phryganella,inf,2,6.51
Nibbleromonas,inf,2,6.51
Mattesia,inf,2,6.51
Scrippsiella,inf,2,6.51
Farlowiella,inf,2,6.51
Cryothecomonas,inf,2,6.51
Corallicolla,inf,2,6.51
Alphamonadea_ALPH1,inf,2,6.51
Alaimus,inf,2,6.51
Theileria1,14.429,101,6.49
Acyrthosiphon,24.5,49,6.43
Pythium,6.565,302,6.32
Hexamita,32.0,32,6.28
Gregarina3,27.0,27,5.91
Ulva,13.75,55,5.86
Culex,12.4,62,5.85
Rhizopus,9.571,67,5.6
Ectocarpus,8.556,77,5.58
Smittium,10.0,60,5.56
Pristionchus,8.75,70,5.53
Danio,8.125,65,5.37
Ichthyophthirius,19.0,19,5.19
Articulospora,19.0,19,5.19
Acanthamoeba,4.952,104,5.11
Paramecium,6.5,65,5.1
Trichocladium,12.5,25,5.03
Heterolepidoderma,inf,1,5.0
Surapoda,inf,1,5.0
Nebulomonas,inf,1,5.0
Massisteria,inf,1,5.0
Massaria,inf,1,5.0
Leptodora,inf,1,5.0
Halodaphnea,inf,1,5.0
Echinamoeba,inf,1,5.0
Campanella,inf,1,5.0
Ankistrodesmus,inf,1,5.0
Ubysseya,inf,1,5.0
Conus,7.5,45,4.97
Paulinella,17.0,17,4.97
Hyaloscypha,8.0,40,4.95
Sabatieria,16.0,16,4.86
Blastocystis,4.8,72,4.8
Phaeodactylum,15.0,15,4.74
Nannochloropsis,6.5,39,4.7
Nematostella,14.0,14,4.61
Paramoeba,10.0,20,4.6
Trypanosoma,3.696,85,4.59
Gibberella,1.726,466,4.54
Eimeria1,4.0,68,4.54
Cafeteria,9.0,18,4.41
Colpodellida_CHR1_X,9.0,18,4.41
Plasmodium1,4.4,44,4.34
Chydorus,12.0,12,4.32
Aphelidium,12.0,12,4.32
Eurytemora,7.0,21,4.28
Russula,3.087,71,4.25
Auxenochlorella,5.75,23,4.16
Arabidopsis,4.286,30,4.04
Coelomomyces,10.0,10,4.0
Bodo,10.0,10,4.0
Trichosporon,3.231,42,3.96
Teratosphaeria,3.625,29,3.84
Ricinus,6.5,13,3.83
Mitosporidium,9.0,9,3.82
Allomyces,5.333,16,3.81
Cryptosporidium1,2.5,50,3.77
Exophiala,2.4,48,3.7
Spumella,6.0,12,3.7
Balamuthia,8.0,8,3.62
Tilletiopsis,8.0,8,3.62
Coccidioides,5.5,11,3.55
Chloropicon,3.75,15,3.43
Psora,5.0,10,3.4
Rhizoclosmatium,4.0,12,3.33
Crassostrea,3.25,13,3.2
Zymoseptoria,2.667,16,3.14
Phialophora,2.5,15,3.04
Chrysaora,2.6,13,2.99
Caenorhabditis,1.163,57,2.94
Homo,5.0,5,2.89
Botryococcus,5.0,5,2.89
Philaenus,5.0,5,2.89
Aculops,5.0,5,2.89
Polychytrium,5.0,5,2.89
Taphrina,1.889,17,2.85
Chlamydomonas,1.353,23,2.67
Venturia,4.0,4,2.57
Acartia,4.0,4,2.57
Bathycoccus,1.5,15,2.56
Saprolegnia,2.5,5,2.38
Mrakia,1.375,11,2.32
Strigomonas,2.0,6,2.31
Brachypodium,1.75,7,2.29
Culiseta,3.0,3,2.18
Leidyana1,3.0,3,2.18
Neofabraea,3.0,3,2.18
Tectonidula,3.0,3,2.18
Thamnocephalis,3.0,3,2.18
Xenopus,1.25,5,1.86
Ditylenchus,1.333,4,1.8
Batrachochytrium,1.5,3,1.74
Lecidea,1.5,3,1.74
Cyanidioschyzon,2.0,2,1.69
Mayetiola,2.0,2,1.69
Raphidocelis,2.0,2,1.69
Paramicrosporidium,2.0,2,1.69
Coniophora,2.0,2,1.69
