genus,nf,otu_count,priority_score
uncultured_bacterium.Mitochondria,1789.0,1789,18.08
Edaphobaculum,inf,218,16.69
Blastocatella,inf,120,15.4
Phaselicystis,inf,118,15.36
Pedomicrobium,inf,105,15.11
Maritimimonas,inf,70,14.23
Aquibacter,inf,66,14.1
Aurantisolimonas,inf,62,13.96
Calorithrix,inf,56,13.74
Stenotrophobacter,inf,52,13.58
Syntrophococcus,inf,45,13.27
Tetrasphaera,inf,43,13.17
uncultured_Alphaproteobacteria_bacterium.Mitochondria,366.0,366,12.7
Haliangium,187.0,748,12.67
Asteroleplasma,inf,34,12.66
Ercella,inf,30,12.39
Ferritrophicum,inf,30,12.39
Desulfoconvexum,inf,26,12.07
Alterococcus,inf,26,12.07
Thioreductor,inf,24,11.9
Cryptanaerobacter,inf,24,11.9
Rubidimonas,inf,23,11.81
Thiovirga,inf,23,11.81
uncultured_rumen_bacterium.Mitochondria,inf,22,11.71
Bryobacter,130.0,520,11.57
Desulfofarcimen,249.0,249,11.53
Pelospora,inf,20,11.51
Actibacter,inf,19,11.39
Meniscus,inf,19,11.39
Candidatus Sumerlaea,168.0,336,11.37
Salinibacter,92.429,647,11.3
Desulfovirga,inf,18,11.28
Blastopirellula,89.857,629,11.22
Hoppeia,inf,17,11.15
Salinirepens,inf,17,11.15
Desulfatiglans,123.667,371,11.04
Spirochaeta,65.917,791,10.99
Pirellula,104.5,418,10.93
Desulfohalotomaculum,inf,15,10.88
Dechlorobacter,inf,15,10.88
Methylorosula,inf,15,10.88
Thermomarinilinea,inf,15,10.88
Monoglobus,115.0,345,10.83
Pajaroellobacter,195.0,195,10.82
Chujaibacter,inf,14,10.73
Aquicella,130.5,261,10.64
Wilmottia,inf,13,10.57
Anaerocella,inf,13,10.57
Schizothrix,inf,12,10.4
Psychroglaciecola,inf,12,10.4
Parviterribacter,inf,12,10.4
Chthoniobacter,82.0,328,10.24
uncultured_bacterium.Chloroplast,157.0,157,10.21
Chloronema,inf,11,10.21
Rubribacterium,inf,11,10.21
Geminobacterium,inf,11,10.21
Desulfofrigus,inf,11,10.21
Lactivibrio,inf,11,10.21
Abditibacterium,85.667,257,10.0
Peredibacter,85.667,257,10.0
Desulfocella,inf,10,10.0
Alkanibacter,inf,10,10.0
Woeseia,82.667,248,9.9
Colidextribacter,79.0,237,9.78
Thermolithobacter,inf,9,9.77
Desulfonatronobacter,inf,9,9.77
Pseudoclostridium,inf,9,9.77
Citreitalea,inf,9,9.77
Aurantivirga,inf,9,9.77
Heliimonas,inf,9,9.77
Vicinamibacter,inf,9,9.77
Thiofractor,inf,9,9.77
Dehalobium,inf,9,9.77
Haererehalobacter,inf,9,9.77
Taonella,inf,9,9.77
Algitalea,inf,9,9.77
Agathobacter,61.4,307,9.72
Mangroviflexus,inf,8,9.52
Thioprofundum,inf,8,9.52
Profundimonas,inf,8,9.52
Luteivirga,inf,8,9.52
Sporacetigenium,inf,8,9.52
Acidibacter,83.0,166,9.4
Longilinea,67.333,202,9.35
Subdoligranulum,35.25,423,9.24
Aestuariimonas,inf,7,9.23
unidentified_proteobacterium.Mitochondria,inf,7,9.23
Ruminofilibacter,inf,7,9.23
Micropepsis,inf,7,9.23
Marispirillum,inf,7,9.23
Desulfofaba,inf,7,9.23
Acidothermus,76.5,153,9.18
Gemmatimonas,33.231,432,9.17
Faecalibaculum,75.5,151,9.15
Gaiella,62.0,186,9.13
Tyzzerella,37.25,298,8.93
Filobacterium,inf,6,8.89
Heliobacillus,inf,6,8.89
Anaerovorax,48.5,194,8.83
Truepera,47.25,189,8.76
Hydrogenispora,63.5,127,8.7
Saccharofermentans,63.0,126,8.68
Sediminispirochaeta,45.25,181,8.65
Marvinbryantia,51.333,154,8.64
Lacunisphaera,61.0,122,8.6
Acetitomaculum,60.5,121,8.58
Fluviicola,30.444,274,8.54
Cutibacterium,24.6,369,8.53
Fastidiosipila,48.667,146,8.5
Perspicuibacter,inf,5,8.49
Huakuichenia,inf,5,8.49
Cavicella,inf,5,8.49
Pibocella,inf,5,8.49
Cristispira,inf,5,8.49
Halopeptonella,inf,5,8.49
Paramoritella,inf,5,8.49
Mongoliicoccus,inf,5,8.49
Methylarcula,inf,5,8.49
Calenema,inf,5,8.49
