file,taxon,rank,seq_count,avg_length,min_length,max_length,priority,expected_otu,lineage,genera_count
001_Euamoebida_order.fna,Euamoebida,order,261,1530.4,1200,2537,109.91,668,Amoebozoa > Tubulinea > Elardia,8
002_Cercomonadidae_family.fna,Cercomonadidae,family,119,1343.5,1200,2320,64.28,158,Rhizaria > Cercozoa > Cercomonadida,6
003_Hartmannellidae_family.fna,Hartmannellidae,family,178,1497.6,1201,2226,66.9,414,Tubulinea > Elardia > Euamoebida,5
004_Calanoida_order.fna,Calanoida,order,31,2725.4,1204,7755,53.46,68,Copepoda > Neocopepoda > Gymnoplea,7
005_Arcellinida_order.fna,Arcellinida,order,99,1711.0,1204,4116,71.71,318,Amoebozoa > Tubulinea > Elardia,6
006_Eugregarinorida_order.fna,Eugregarinorida,order,184,1759.5,1201,6986,61.95,315,Apicomplexa > Conoidasida > Gregarinasina,7
007_Prostigmata_suborder.fna,Prostigmata,suborder,32,1868.6,1213,7322,40.23,61,Acari > Acariformes > Trombidiformes,5
008_Glissomonadida_order.fna,Glissomonadida,order,546,1529.7,1202,2998,46.91,669,Sar > Rhizaria > Cercozoa,4
009_Scytomonadidae_family.fna,Scytomonadidae,family,35,1662.1,1235,2762,50.97,240,Euglenozoa > Euglenida > Petalomonadida,4
010_Schizoplasmodiidae_family.fna,Schizoplasmodiidae,family,23,1404.8,1323,1893,46.36,124,Evosea > Variosea > Fractovitellida,4
011_Hexamitinae_subfamily.fna,Hexamitinae,subfamily,16,2299.3,1272,7592,29.64,89,Fornicata > Diplomonadida > Hexamitidae,3
012_Sessilida_order.fna,Sessilida,order,94,1694.0,1206,2625,42.21,174,Intramacronucleata > Oligohymenophorea > Peritrichia,4
013_Helotiales_order.fna,Helotiales,order,96,1706.2,1200,3076,29.45,130,leotiomyceta > sordariomyceta > Leotiomycetes,5
014_Rhabditida_order.fna,Rhabditida,order,307,1700.1,1201,7213,27.95,368,Ecdysozoa > Nematoda > Chromadorea,5
015_Sandonidae_family.fna,Sandonidae,family,543,1530.6,1202,2998,27.92,645,Rhizaria > Cercozoa > Glissomonadida,2
016_Endogenida_order.fna,Endogenida,order,42,1910.4,1207,3063,25.43,70,Intramacronucleata > Phyllopharyngea > Suctoria,2
017_Cladocera_suborder.fna,Cladocera,suborder,17,1759.2,1304,2285,25.34,21,Branchiopoda > Phyllopoda > Diplostraca,4
018_Peridiniales_order.fna,Peridiniales,order,380,1531.8,1200,5854,24.85,468,Sar > Alveolata > Dinophyceae,2
019_Lamiales_order.fna,Lamiales,order,190,1630.1,1201,2085,24.75,239,Pentapetalae > asterids > lamiids,2
020_Vorticellidae_family.fna,Vorticellidae,family,93,1688.9,1206,2625,24.49,138,Oligohymenophorea > Peritrichia > Sessilida,2
021_Rhabdomonadales_order.fna,Rhabdomonadales,order,30,2154.5,1239,3330,23.98,50,Euglenida > Spirocuta > Aphagea,2
022_Amphitremida_order.fna,Amphitremida,order,18,1435.4,1309,2055,22.17,33,Stramenopiles > Bigyra > Labyrinthulomycetes,2
023_Neobodonida_order.fna,Neobodonida,order,19,1459.0,1219,2188,32.36,268,Euglenozoa > Kinetoplastea > Metakinetoplastina,3
024_Rigifilida_order.fna,Rigifilida,order,16,1461.9,1207,1858,20.97,25,cellular organisms > Eukaryota > CRuMs,2
025_Hypocreales_order.fna,Hypocreales,order,315,1907.9,1201,8054,20.82,755,sordariomyceta > Sordariomycetes > Hypocreomycetidae,3
026_Pleosporales_order.fna,Pleosporales,order,91,1684.9,1213,3973,20.61,228,dothideomyceta > Dothideomycetes > Pleosporomycetidae,3
027_Chaetonotidae_family.fna,Chaetonotidae,family,78,1818.9,1211,7713,19.96,99,Gastrotricha > Chaetonotida > Paucitubulatina,2
028_Ploima_order.fna,Ploima,order,7,1495.3,1204,2824,19.91,22,Eurotatoria > Monogononta > Pseudotrocha,2
029_Collodaria_order.fna,Collodaria,order,25,1668.6,1200,7090,19.62,44,Rhizaria > Retaria > Polycystinea,2
030_Tylenchina_suborder.fna,Tylenchina,suborder,197,1709.6,1201,7213,19.49,241,Nematoda > Chromadorea > Rhabditida,3
031_Dysteriida_order.fna,Dysteriida,order,19,1670.9,1235,2117,19.38,28,Intramacronucleata > Phyllopharyngea > Phyllopharyngia,2
032_Eriophyoidea_superfamily.fna,Eriophyoidea,superfamily,9,1709.9,1213,2540,19.28,25,Trombidiformes > Prostigmata > Eupodina,3
033_Euglenaceae_family.fna,Euglenaceae,family,315,2062.9,1215,3235,18.36,470,Spirocuta > Euglenophyceae > Euglenales,1
034_Ensiculiferaceae_family.fna,Ensiculiferaceae,family,378,1514.4,1200,5854,18.34,466,Alveolata > Dinophyceae > Peridiniales,1
035_Bicosoecida_order.fna,Bicosoecida,order,54,1848.2,1224,4693,27.39,355,Stramenopiles > Bigyra > Opalozoa,3
036_Hemiptera_order.fna,Hemiptera,order,41,2061.0,1209,2600,17.81,59,Pterygota > Neoptera > Paraneoptera,3
037_Mastigamoebidae_family.fna,Mastigamoebidae,family,264,1533.8,1201,3000,17.7,1609,Evosea > Archamoebae > Mastigamoebida,1
038_Paramoebidae_family.fna,Paramoebidae,family,33,1701.9,1227,2100,17.26,54,Discosea > Flabellinia > Dactylopodida,2
039_Dileptidae_family.fna,Dileptidae,family,150,1568.3,1203,2790,17.02,253,Litostomatea > Haptoria > Haptorida,1
040_Psathyrellaceae_family.fna,Psathyrellaceae,family,194,1842.3,1216,8250,16.68,217,Agaricomycetidae > Agaricales > Agaricineae,1
041_Eimeriorina_suborder.fna,Eimeriorina,suborder,151,1729.8,1222,3866,16.61,194,Conoidasida > Coccidia > Eucoccidiorida,3
042_Lecideaceae_family.fna,Lecideaceae,family,83,1758.6,1253,3235,16.51,93,OSLEUM clade > Lecanoromycetidae > Lecideales,2
043_Cordycipitaceae_family.fna,Cordycipitaceae,family,222,1896.6,1201,7646,16.28,289,Sordariomycetes > Hypocreomycetidae > Hypocreales,2
044_Longamoebia_order.fna,Longamoebia,order,91,2042.8,1234,3583,16.12,115,Eukaryota > Amoebozoa > Discosea,3
045_Plagiopyxidae_family.fna,Plagiopyxidae,family,74,1710.4,1207,4116,15.89,151,Elardia > Arcellinida > Difflugina,1
046_Monocystidae_family.fna,Monocystidae,family,104,1636.7,1204,6986,15.59,131,Conoidasida > Gregarinasina > Eugregarinorida,1
047_Discinellaceae_family.fna,Discinellaceae,family,23,1786.0,1200,3076,15.59,31,sordariomyceta > Leotiomycetes > Helotiales,2
048_Phryganellina_suborder.fna,Phryganellina,suborder,5,1459.2,1253,1731,29.06,62,Tubulinea > Elardia > Arcellinida,3
